no,halaman,title,harga
1,1,SAMSUNG SMARTPHONE GALAXY A57 5G SERIES,0
2,1,SAMSUNG SMARTPHONE GALAXY A37 SERIES,7109000
3,1,SAMSUNG SMARTPHONE GALAXY Z FOLD7 5G SERIES,0
4,1,SAMSUNG SMARTPHONE GALAXY Z FLIP7 5G SERIES,6109000
5,1,SAMSUNG SMARTPHONE GALAXY S25 ULTRA SERIES,0
6,1,SAMSUNG SMARTPHONE GALAXY S25+ SERIES,28509000
7,1,SAMSUNG SMARTPHONE GALAXY S25 SERIES,0
8,1,SAMSUNG SMARTPHONE GALAXY S25 FE SERIES,18009000
9,1,SAMSUNG SMARTPHONE GALAXY A56 5G SERIES,0
10,1,SAMSUNG SMARTPHONE GALAXY A36 5G SERIES,17109000
11,1,SAMSUNG SMARTPHONE GALAXY A26 5G 8/265GB SERIES,0
12,1,SAMSUNG SMARTPHONE GALAXY A17 5G SERIES,15009000
13,1,SAMSUNG SMARTPHONE GALAXY A17 SERIES,0
14,1,SAMSUNG SMARTPHONE GALAXY A07 SERIES,11809000
15,1,OPPO SMARTPHONE RENO 15 PRO MAX SERIES,0
16,1,OPPO SMARTPHONE RENO 15 5G SERIES,11009000
17,1,OPPO SMARTPHONE RENO 15 F 5G SERIES,0
18,1,OPPO SMARTPHONE FIND X9 PRO SERIES,6259000
19,1,OPPO SMARTPHONE FIND X9 SERIES,0
20,1,OPPO SMARTPHONE FIND N5 16/512 GB SERIES,5359000
21,1,OPPO SMARTPHONE RENO13 5G 12/256GB SERIES,0
22,1,OPPO SMARTPHONE A6 PRO 5G SERIES,4659000
23,1,OPPO SMARTPHONE A6 PRO SERIES,0
24,1,OPPO SMARTPHONE A6X SERIES,4509000
25,2,OPPO SMARTPHONE A6 SERIES,0
26,2,OPPO SMARTPHONE A5 PRO 5G 8/256GB SERIES,4109000
27,2,OPPO SMARTPHONE A5 PRO 4G SERIES,0
28,2,INFINIX SMARTPHONE NOTE 60 PRO SERIES,3709000
29,2,INFINIX SMARTPHONE NOTE 60 8/256GB SERIES,0
30,2,INFINIX SMARTPHONE ANDROID GT 30 PRO SERIES,2539000
31,2,INFINIX SMARTPHONE ANDROID GT 30 8/256GB SERIES,0
32,2,INFINIX SMARTPHONE ANDROID NOTE EDGE SERIES,4709000
33,2,INFINIX SMARTPHONE ANDROID HOT 60 PRO+ SERIES,0
34,2,INFINIX SMARTPHONE ANDROID HOT 60 PRO SERIES,4509000
35,2,INFINIX SMARTPHONE ANDROID HOT 60i SERIES,0
36,2,VIVO SMARTPHONE V60 SERIES,3769000
37,2,VIVO SMARTPHONE ANDROID V60LITE 5G SERIES,0
38,2,VIVO SMARTPHONE ANDROID V60LITE 8/256GB SERIES,3309000
39,2,VIVO SMARTPHONE V50 5G SERIES,0
40,2,VIVO SMARTPHONE V50 LITE 5G SERIES,3359000
41,2,VIVO SMARTPHONE V50 LITE 4G SERIES,0
42,2,VIVO SMARTPHONE Y400 SERIES,2839000
43,2,VIVO SMARTPHONE Y29 SERIES,0
44,2,VIVO SMARTPHONE Y19S PRO SERIES,2509000
45,2,VIVO SMARTPHONE Y19S SERIES,0
46,2,VIVO SMARTPHONE Y21D SERIES,2009000
47,2,VIVO SMARTPHONE Y04S SERIES,0
48,2,MOTOROLA SMARTPHONE EDGE 60 PRO SERIES,6409000
49,3,MOTOROLA SMARTPHONE EDGE 60 FUSION SERIES,0
50,3,MOTOROLA SMARTPHONE G86 POWER 5G SERIES,4859000
51,3,MOTOROLA SMARTPHONE G67 8/256GB SERIES,0
52,3,MOTOROLA SMARTPHONE G57 8/256GB SERIES,4209000
53,3,MOTOROLA SMARTPHONE G45 5G 8/256GB SERIES,0
54,3,MOTOROLA SMARTPHONE G06 POWER 4/128GB SERIES,3759000
55,3,OPPO SMARTPHONE RENO13F 5G 12/256GB GREY,0
56,3,OPPO SMARTPHONE RENO13F 4G 8/256GB PURPLE,3359000
57,3,OPPO SMARTPHONE RENO13F 5G 8/256GB GREY,0
58,3,OPPO SMARTPHONE RENO13F 5G 8/256GB PURPLE,2609000
59,3,SAMSUNG SMARTPHONE GALAXY A07 5G SERIES,0
60,3,OPPO SMARTPHONE A6S SERIES,2029000
61,3,VIVO SMARTPHONE Y05 SERIES,0
62,3,VIVO SMARTPHONE V70 SERIES,4959000
63,3,VIVO SMARTPHONE V70 FE SERIES,0
64,3,INFINIX SMARTPHONE ANDROID SMART 20 SERIES,3609000
65,3,OPPO SMARTPHONE RENO13F 5G 12/256GB PURPLE,0
66,3,INFINIX SMARTPHONE ANDROID GT 30 PRO GIFT BOX SERIES,4859000
67,3,VIVO SMARTPHONE X300 SERIES,0
68,3,VIVO SMARTPHONE X300 PRO SERIES,4859000
